Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2023,526.60,536.20,522.80,535.25,531.235787817862073779,1174802,25152,624096866.00,615484,52.39,13.40,8.65
31-May-2023,520.10,527.65,517.00,526.45,524.623979001003628503,388590,7523,203863632.00,106897,27.51,10.65,6.35
30-May-2023,520.55,523.65,518.05,518.80,520.667074131420965419,184065,4728,95836585.00,61773,33.56,5.60,-1.75
29-May-2023,524.50,524.85,519.70,521.25,521.989022237386699105,539272,15095,281494064.00,282468,52.38,5.15,-3.25
26-May-2023,513.05,519.75,512.20,518.55,516.764249410056271555,352576,7339,182198672.00,84342,23.92,7.55,5.50
25-May-2023,518.80,518.80,509.10,514.70,512.853707854782427841,519276,10233,266312622.00,180951,34.85,9.70,-4.10
24-May-2023,528.00,529.65,519.25,520.20,523.817141926940667858,319439,6540,167327624.00,112951,35.36,10.40,-7.80
23-May-2023,521.55,531.00,521.30,528.50,527.194855684614263368,459653,9289,242326697.00,123289,26.82,9.70,6.95
22-May-2023,524.05,526.95,519.45,522.35,522.468745361046304235,451341,9383,235811566.00,98671,21.86,7.50,-1.70
19-May-2023,509.05,526.50,504.75,524.75,516.476842888871417901,814048,12930,420436941.00,172236,21.16,21.75,15.70
18-May-2023,518.35,520.45,507.00,508.40,512.133251911504649949,1179045,23571,603828150.00,387214,32.84,13.45,-9.95
17-May-2023,522.80,523.95,512.50,515.55,518.715447053857122624,727239,11837,377230103.00,149176,20.51,11.45,-7.25
16-May-2023,533.25,536.00,519.00,521.05,529.848127880421546053,849919,14310,450327991.00,255899,30.11,17.00,-12.20
15-May-2023,525.00,537.15,521.40,530.80,531.624059189542759201,1518106,23536,807061674.00,416802,27.46,15.75,5.80
12-May-2023,514.00,520.40,510.15,515.65,515.570255289559948346,2013400,30914,1038049152.00,577435,28.68,10.25,1.65
11-May-2023,511.15,514.20,505.55,511.65,510.025739409116896293,496748,9566,253354266.00,145475,29.29,8.65,0.50
10-May-2023,508.00,513.00,504.45,509.45,507.929847679825228590,545627,10112,277140239.00,130266,23.87,8.55,1.45
9-May-2023,501.15,512.65,501.15,503.55,507.241381700261318854,1024419,15538,519627709.00,211744,20.67,11.50,2.40
8-May-2023,478.45,502.00,478.45,500.20,494.891647514923952859,2637706,53731,1305378668.00,1648651,62.50,23.55,21.75
5-May-2023,480.75,484.75,476.25,477.20,480.896278568529481742,285804,4957,137442080.00,74216,25.97,8.50,-3.55
4-May-2023,482.75,486.50,479.00,480.75,482.229079636499672662,513232,12607,247495395.00,208123,40.55,7.50,-2.00
3-May-2023,477.05,485.00,477.05,483.90,481.430808322570350767,332157,5349,159910613.00,89923,27.07,7.95,6.85
2-May-2023,482.25,484.10,474.60,480.25,479.196542190094147630,901669,22331,432076667.00,406029,45.03,9.50,-2.00
28-April-2023,481.10,487.90,478.40,485.15,484.246340708213702640,426312,7761,206440026.00,116072,27.23,9.50,4.05
